has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,url_length,host_length,num_dots_host,has_at_sign,has_dash_host,path_length,is_https,is_shortener,URL,label
1,1,1,1,1,1,0,0,1,0,0,8,1,10,0,5,0,0,16,0,13,6,0,0,0,321,1,16,10,147,0,0,1,1,0,0,3,0,0,1,0,24,0,23,14,2,0,0,1,1,0,https://www.google.com/,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,193,15,2,0,0,6,1,0,https://account.mail.ru/login?autologin_exp=v22&autologin_project=home&page=https://mail.ru/?autologin%3D1765555336&errorCode=11300&errorText=invalid+user&state=ff1ed634854a497c80a31551d77df416,0
1,1,1,1,0,1,0,0,0,0,0,1,15,2,0,137,0,0,111,5,6,93,0,1,0,12388,10,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,26,17,2,0,0,1,1,0,https://www.microsoft.com/,0
1,1,1,1,1,1,0,1,1,0,0,33,22,77,264,272,0,0,287,140,40,51,1,1,1,20521,10,287,77,1172,0,1,1,0,0,1,15,1,0,1,69,539,0,27,18,2,0,0,1,1,0,https://www.cloudflare.com/,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,22,3,0,0,5,1,0,https://sso.passport.yandex.ru/push?uuid=3e42de5e-5b78-432d-b48b-2f9532a5234a&retpath=https%3A%2F%2Fdzen.ru%2F%3Fis_autologin_ya%3Dtrue,0
1,1,1,1,0,1,0,0,0,0,1,2,17,17,0,63,0,0,106,5,22,52,1,1,1,11209,8,106,17,535,0,1,1,0,0,1,36,1,0,0,0,252,0,23,14,2,0,0,1,1,0,https://aws.amazon.com/,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14,0,41,7,0,0,0,154,0,14,0,291,0,0,0,0,1,1,6,0,0,0,0,1,0,24,15,2,0,0,1,1,0,https://www.youtube.com/,0
1,1,1,1,1,1,0,0,1,0,1,5,17,84,0,160,0,0,154,36,15,5,1,1,1,5896,11,154,84,244,10,1,1,0,0,1,17,1,0,1,147,125,0,22,13,2,0,0,1,1,0,https://www.apple.com/,0
1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,9,0,0,0,9,0,0,2,3,0,0,0,0,0,0,8,0,0,0,0,1,0,26,17,2,0,0,1,1,0,https://www.instagram.com/,0
1,0,1,1,0,1,0,0,0,0,0,0,32,31,0,219,0,0,191,20,18,29,1,1,1,15275,28,191,31,163,0,1,0,0,0,0,9,1,0,1,5,68,0,23,14,2,0,0,1,1,0,https://www.office.com/,0
0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,6,3,10,0,1,0,0,493,1,6,1,10,0,0,1,0,0,0,11,0,0,0,0,3,0,14,5,1,0,0,1,1,0,https://x.com/,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,0,35,0,0,1,15,0,0,0,0,0,0,30,0,0,0,0,0,0,32,16,2,0,0,8,1,0,https://outlook.live.com/mail/0/,0
1,1,1,1,0,1,0,0,1,0,0,4,43,7,0,198,0,0,159,14,6,27,1,1,1,5268,40,159,7,61,0,1,1,0,0,0,25,1,0,0,0,90,0,25,16,2,0,0,1,1,0,https://www.linkedin.com/,0
1,1,1,1,1,1,0,0,1,0,0,8,1,10,0,5,0,0,16,0,13,6,0,0,0,321,1,16,10,147,0,0,1,1,0,0,3,0,0,1,0,24,0,23,14,2,0,0,1,1,0,https://www.google.com/,0
1,1,1,1,1,1,0,0,1,0,0,3,1,1,0,0,0,0,2,0,3,10,0,0,0,153,1,2,1,14,0,0,1,0,0,0,4,0,0,0,0,6,0,23,14,2,0,0,1,1,0,https://www.amazon.com/,0
1,0,1,1,0,1,0,0,0,0,0,0,36,2,0,0,0,0,33,31,11,4,1,0,1,7522,25,33,2,687,0,1,0,0,0,0,15,1,0,0,0,405,0,30,22,2,0,0,0,1,0,https://workers.cloudflare.com,0
1,0,1,1,0,1,0,0,0,0,0,0,16,12,11,137,0,0,84,38,10,72,1,1,1,7161,10,85,12,161,0,1,0,0,1,0,16,1,0,1,10,19,0,54,28,2,0,0,18,1,0,https://marketingplatform.google.com/about/enterprise/,0
1,1,1,1,1,1,0,0,0,0,0,2,95,104,0,363,0,0,358,1,76,42,1,1,1,17679,76,362,104,1804,0,1,1,0,0,0,36,1,0,1,4,312,0,34,19,2,0,0,7,1,0,https://azure.microsoft.com/en-us/,0
1,1,1,1,1,1,0,0,1,0,0,13,7,1,76,351,0,0,376,11,4,9,1,1,1,7402,5,376,1,115,0,1,1,0,0,0,8,1,0,0,0,82,0,26,17,2,0,0,1,1,0,https://www.wikipedia.org/,0
1,1,1,1,1,1,0,1,1,0,1,13,46,25,0,167,0,0,141,27,65,61,1,1,1,8240,35,149,25,358,1,1,1,1,0,1,51,1,0,0,0,250,0,19,10,1,0,0,1,1,0,https://github.com/,0
1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,48,23,0,0,0,31,0,3,1,6,0,0,0,0,0,0,14,0,0,0,0,7,0,72,12,2,0,0,1,1,0,https://www.bing.com:443/?toWww=1&redig=C61DBF78DE674C9DA4942FA2D47B3D1F,0
1,1,1,1,0,1,0,0,0,0,1,1,3,49,0,125,0,0,229,59,44,66,1,1,1,11587,3,230,49,677,0,0,1,0,1,1,24,0,0,1,1,34,0,25,16,2,0,0,1,1,0,https://www.digicert.com/,0
1,0,1,1,1,1,0,0,0,0,0,0,29,13,0,102,0,0,74,22,16,42,1,1,1,7049,18,74,13,335,0,0,0,0,1,0,21,1,0,0,0,24,0,23,14,2,0,0,1,1,0,https://www.fastly.com/,0
1,1,1,1,1,1,0,0,0,0,0,1,9,17,0,73,0,0,77,19,16,55,1,1,0,3508,4,77,17,72,20,1,1,0,1,0,17,1,0,0,0,57,0,22,13,1,0,0,1,1,0,https://wordpress.org/,0
