has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,url_length,host_length,num_dots_host,has_at_sign,has_dash_host,path_length,is_https,is_shortener,URL,label
1,0,1,1,0,1,0,0,0,0,0,0,3,9,0,0,0,0,24,7,17,56,0,0,1,1872,1,24,9,92,0,0,0,0,0,0,3,1,0,0,0,4,0,52,11,1,0,0,33,1,1,https://tinyurl.com/app/nospam/tinyurl.com/wanttmore,1
1,1,1,1,0,1,0,1,0,0,0,3,2,1,0,2,0,0,2,1,63,14,0,0,0,141,1,2,1,75,0,0,1,0,0,1,16,1,0,1,0,11,0,40,24,2,0,0,8,1,0,https://snelsonkbl.wixstudio.com/my-site,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,62,0,0,0,62,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,26,11,1,0,0,7,1,0,https://myurl.world/5sn7QY,1
1,1,0,1,0,1,0,0,1,0,0,11,0,1,0,8,0,0,1,6,13,4,0,0,0,113,0,1,1,9,0,0,1,0,0,0,8,0,0,0,0,0,0,40,16,2,0,0,16,1,0,https://form.jotform.com/253111594920049,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,0,0,110,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,131,15,2,0,0,108,1,0,https://docs.google.com/presentation/d/e/2PACX-1vTVO11D-zzWs09u7tJJUl4FLjZn8TRXxUJ6uC4vV8qyGNqlhoXWNtztykpaKEcCTI15DqBq8BX2gmFS/pub,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,65,40,3,0,1,13,1,0,https://compte-public.id-finances.parti-auth.com:443/login_up.php,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,69,44,4,0,1,13,1,0,https://www.compte-public.id-finances.parti-auth.com:443/login_up.php,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,31,11,1,0,0,12,1,0,https://linqapp.com/bt_internet,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,35,4,0,0,33,1,0,https://ebukanewpages.blob.core.windows.net/ebukanewpages/ebukanewpages.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,4,1,0,33,1,0,https://ebukanewpages.blob.core.windows.net/ebukanewpages/ebukanewpages.html?eta=info@mup.cz,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,9,3,1,19,0,1,0,682,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,66,57,5,0,1,1,1,0,https://www.espace-fr.client.caffr-demande.notifie-messagerie.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,9,3,1,19,0,1,0,682,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,53,4,0,1,1,1,0,https://espace-fr.client.caffr-demande.notifie-messagerie.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,9,3,1,19,0,1,0,682,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,71,53,4,0,1,10,1,0,https://espace-fr.client.caffr-demande.notifie-messagerie.com/index.php,1
1,1,1,1,1,1,0,0,1,0,0,8,1,10,0,5,0,0,16,0,13,6,0,0,0,321,1,16,10,147,0,0,1,1,0,0,3,0,0,1,0,24,0,23,14,2,0,0,1,1,0,https://www.google.com/,1
